N.,Genre,Name,Language,Country,Streaming HTTP,ERROR,Video codec,Width,Height,Frame rate,Audio codec,Sample rate,Audio ch.
1,,111 TV Liguria,Italian,IT,http://dcunilive36-lh.akamaihd.net/i/dclive_1@662089/index_150_av-p.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
2,,111 TV Liguria,Italian,IT,http://dcunilive36-lh.akamaihd.net/i/dclive_1@662089/master.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
3,,111tv,Italian,IT,http://dcunilive36-lh.akamaihd.net/i/dclive_1@662089/index_150_av-p.m3u8?sd=6&rebase=on,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
4,,51 Radio TV,Italian,IT,http://wms.shared.streamshow.it:80/canale51/canale51/playlist.m3u8,,h264,854,480,25,aac,48000,2
5,,AB Channel,Italian,IT,https://59ef7ad665d1d.streamlock.net:1443/abchannel/abchannel/playlist.m3u8,,h264,1360,768,25,aac,44100,2
6,,ALICE,Italian,IT,https://stream.next-sys.it:8443/live/alice/index.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
7,,Alto Adige TV,Italian,IT,http://77.72.196.214:8554/live/AltoAdigeTV/livestream.m3u8,,h264,854,480,25,aac,44100,2
8,,Antenna Sud,Italian,IT,http://wms.shared.streamshow.it/antennasud/antennasud/playlist.m3u8?fluxustv.m3u8,,h264,960,576,25,aac,44100,1
9,News,Antenna Tre,Italian,IT,http://wms.shared.streamshow.it/antennatre/antennatre/playlist.m3u8,,h264,854,480,50,aac,48000,2
10,,Aurora Arte,Italian,IT,https://59d7d6f47d7fc.streamlock.net/auroraarte/auroraarte/chunklist.m3u8,,h264,854,480,25,aac,48000,2
11,,Azzurra TV,Italian,IT,https://sb.top-ix.org/avtvlive/streaming/playlist.m3u8?fluxustv.m3u8,,h264,1024,576,25,aac,48000,2
12,,CafèTV24,Italian,IT,http://srv3.meway.tv:1957/cafe/live/playlist.m3u8,,h264,1280,720,30,aac,44100,2
13,,Canale 10,Italian,IT,http://37.187.142.147:1935/ch10live/high.stream/live.m3u8,,h264,960,540,30,aac,44100,2
14,,Canale 10,Italian,IT,http://37.187.142.147:1935/ch10live/high.stream/playlist.m3u8,,h264,960,540,30,aac,44100,2
